Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Haematopodidae,Haematopus ater,Pilpilén negro,Blackish Oystercatcher,LC,,X
Haematopodidae,Haematopus leucopodus,Pilpilén austral,Magellanic Oystercatcher,LC,,X
Haematopodidae,Haematopus palliatus,Pilpilén común,American Oystercatcher,LC,NT,X
Procellariidae,Halobaena caerulea,Petrel azulado,Blue Petrel,LC,,X
Anatidae,Heteronetta atricapilla,Pato rinconero,Black-headed Duck,LC,LC,X
Recurvirostridae,Himantopus mexicanus,Perrito,Black-necked Stilt,LC,,X
Hirundinidae,Hirundo rustica,Golondrina bermeja,Barn Swallow,LC,,NR
Hydrobatidae,Hydrobates hornbyi,Golondrina de mar de collar,Hornby's Storm-Petrel,NT,VU,X
Hydrobatidae,Hydrobates markhami,Golondrina de mar negra,Markham's Storm-Petrel,NT,EN,X
Hydrobatidae,Hydrobates tethys,Golondrina de mar peruana,Wedge-rumped Storm-Petrel,LC,VU,X
Tyrannidae,Hymenops perspicillatus,Run-run,Spectacled Tyrant,LC,,X
Icteridae,Icterus galbula,Bolsero de Baltimore,Baltimore Oriole,LC,,E
Icteridae,Icterus pyrrhopterus,Turpial variable,Variable Oriole,LC,,E
Thraupidae,Idiopsar dorsalis,Cometocino de dorso castaño,Red-backed Sierra Finch,LC,,X
Thraupidae,Idiopsar erythronotus,Cometocino de Arica,White-throated Sierra Finch,LC,,X
Thraupidae,Idiopsar speculifer,Diuca de alas blancas,Glacier Finch,LC,,X
Ardeidae,Ixobrychus exilis,Huairavillo de dorso negro,Least Bittern,LC,,E
Ardeidae,Ixobrychus involucris,Huairavillo común,Stripe-backed Bittern,LC,LC,X
Jacanidae,Jacana jacana,Jacana,Wattled Jacana,LC,,E
Laridae,Larosterna inca,Gaviotín monja,Inca Tern,NT,NT,X
Laridae,Larus argentatus,Gaviota argéntea,Herring Gull,LC,,E
Laridae,Larus belcheri,Gaviota peruana,Belcher's Gull,LC,,X
Laridae,Larus dominicanus,Gaviota dominicana,Kelp Gull,LC,,X
Rallidae,Laterallus jamaicensis,Pidencito,Black Rail,EN,"EN (XV-III), NT (IV-XII)",X
Parulidae,Leiothlypis peregrina,Reinita de Tennessee,Tennessee Warbler,LC,,E
